File,Model,GT_Text,Pred_Text,GT_Phonemes,Pred_Phonemes,MCD,F0_RMSE_Log,VDE,GPE,Dur_Diff_s,WER,CER,PER,HuBERT_Sim,SEC
jvm_05522_00422789453,PPIM,wis jam sanga isuk tapi durung padha tangi kaya kebo, gue sejam sangat isu tapi durung pada tangi kaya kembung,westʃamsoŋoisotapituruŋpototanikojokappu,ɹistʃamsaŋaisutapituruŋpadədaŋiːɡɔjɔkɔmpu,5.973,0.16,0.092,0.065,0.392,0.6,0.231,0.4,0.978,0.516
jvm_05522_00422789453,LPEP_PPIM,wis jam sanga isuk tapi durung padha tangi kaya kebo, west jam sangat isu tapi turun pada tangi kaya kebuk,westʃamsoŋoisotapituruŋpototanikojokappu,westʃemsaŋaissuktapiturumpatotaŋikɔjkopu,5.991,0.146,0.075,0.019,0.292,0.6,0.173,0.325,0.992,0.598
jvm_09724_02031295406,id_base,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, perasa kukok klambikelambi nehaan emiki cilicili kabah ukuran luar,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,prasakokoklambiklambinehaanemititsiliktsilikabehokurano,6.961,0.521,0.209,0.901,0.474,1.0,0.403,0.189,0.973,0.266
jvm_09724_02031295406,id_zeroshot,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, terasa ku kok kelambikelambi nahan mek cilicili kabe ukuran,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,prasakokoklambiːklambinehaanmiktʃilitʃilikabeokuranu,6.784,0.324,0.237,0.462,0.074,1.0,0.39,0.189,0.976,0.272
jvm_09724_02031295406,jv_baseline,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, rasaku kok klambiklambi nih haan miki cilikcilik kapeh ukuran nya,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,rasakukoklambiklambinihaandemikitʃlitʃilikapehukuranes,5.56,0.122,0.212,0.013,0.576,0.917,0.338,0.151,0.982,0.764
jvm_09724_02031295406,LPEP,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, terasa kok kelambikelambi nihahan mq cilicili kabeh ukurannya kuat,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,prasokoklambiːklambineheandemkitsiletsilikapehukuraɲo,6.058,0.183,0.298,0.13,0.224,0.917,0.506,0.245,0.987,0.641
jvm_09724_02031295406,PPIM,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, rasanku kok kambingkambing nihakan mig cilikcilik lpu kurannya,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,prasaŋokoranbiɡanbilihaanɛmikitʃiletʃilekapeokuranil,6.08,0.124,0.229,0.074,0.501,0.917,0.455,0.321,0.977,0.362
jvm_09724_02031295406,LPEP_PPIM,prasaku kok klambi klambine hletter and mletter iki cilik cilik kabeh ukurane, perasa aku kok kelambikelambi nihahan yang iki cilicili kp hukuran ini,prasakukoklambiklambinehaenemikitʃiltʃilikapehukurani,frasakokoklambiklambinehaanenikitʃletʃilikapehukurani,5.707,0.122,0.271,0.028,0.051,0.917,0.455,0.113,0.977,0.755
jvm_05522_02060506322,id_base,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, taruhkan nata dirantosi fans we with enging ngantos enging malik,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,tarukannatadirantosifanswivitedʒiŋantosendʒiŋmali,6.753,0.455,0.095,0.629,1.347,0.818,0.206,0.196,0.983,0.287
jvm_05522_02060506322,id_zeroshot,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, caruhkan nata dirantosi fans way with engine ngantos engine malaysia,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,tsahrukannatadirantosifansiwitendʒiŋŋantosendʒiŋmalix,6.645,0.359,0.11,0.495,0.722,0.818,0.294,0.275,0.991,0.498
jvm_05522_02060506322,jv_baseline,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, sahrukan nathe dirantasi fans we with engine ngantos engine malik,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,sahrokannatetirandosifansvivitendʒiŋŋandosendʒeŋmalik,6.341,0.297,0.112,0.22,0.272,0.909,0.235,0.196,0.99,0.697
jvm_05522_02060506322,LPEP,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, sahrukan natet diran tosi fans with engine dan tos engine malik,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,safrukkannatatirantosifansvivitendʒiŋŋantosndʒiŋmalik,6.059,0.285,0.172,0.276,1.622,1.0,0.279,0.255,0.981,0.59
jvm_05522_02060506322,PPIM,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, sahrukan nathe tirantosi fans will it engine ngantos engine maleh,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,saxrukannatnetirandosifanzwivtendʒiŋŋandosendʒiŋmale,6.167,0.226,0.101,0.106,0.747,0.909,0.235,0.216,0.991,0.58
jvm_05522_02060506322,LPEP_PPIM,shah rukh khan nate dirantosi fans wiwit enjing ngantos enjing malih, sahrukan nathe dirantosi fans vivid engine ngantos engine maleh,ʃahruxannatettirandosifanswivitndʒiŋandosindʒiŋmali,sahrokannatetirandɔsifansvivetendʒiŋŋantosendʒiŋmale,6.062,0.219,0.109,0.123,0.747,0.727,0.221,0.235,0.988,0.686
jvm_09724_01585878465,id_base,anne hathaway lair dina rebo kliwon neptune limalas, ānā hātawai lair dīnā rebo klīwān neptūnā limālāsī,enhaðeelaɪjertinorəpukliwannaptunelimolas,anahatawaɪlaɪrdinaraɪboklionneptunalimala,7.191,0.46,0.132,0.796,0.171,0.75,0.294,0.512,0.952,0.197
jvm_09724_01585878465,id_zeroshot,anne hathaway lair dina rebo kliwon neptune limalas, අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අප,enhaðeelaɪjertinorəpukliwannaptunelimolas,annahatawaɪlaɪrrdinareboklionneptonalimalaθj,7.503,0.365,0.172,0.46,0.254,8.0,4.843,0.561,0.97,0.183
jvm_09724_01585878465,jv_baseline,anne hathaway lair dina rebo kliwon neptune limalas, ngan ne hatawai laer dina rebuk liwon neptun ne lima lasiu,enhaðeelaɪjertinorəpukliwannaptunelimolas,annehatawaɪlaɪjrtinorapokliwonnoptunelimalasi,6.67,0.143,0.204,0.037,0.504,1.25,0.275,0.366,0.985,0.638
jvm_09724_01585878465,LPEP,anne hathaway lair dina rebo kliwon neptune limalas, ānne hatawai lair dina rabok liwon nabtunee lima lal,enhaðeelaɪjertinorəpukliwannaptunelimolas,annehataɪlaɪrtinahrapokliwonnapunelimalaro,6.71,0.337,0.185,0.336,0.321,0.875,0.216,0.415,0.972,0.504
jvm_09724_01585878465,PPIM,anne hathaway lair dina rebo kliwon neptune limalas, kami haka yld ngerambut r16015,enhaðeelaɪjertinorəpukliwannaptunelimolas,ɡaŋnehanqawaɪlaɪrdinorenporivonmempomilimaðas,7.036,0.171,0.159,0.081,0.371,1.0,0.784,0.683,0.96,0.333
jvm_09724_01585878465,LPEP_PPIM,anne hathaway lair dina rebo kliwon neptune limalas, aneh hatawai layar dinarebo klivon 1915,enhaðeelaɪjertinorəpukliwannaptunelimolas,annihatavaɪlaɪjrtinorepoklivonneptonialimalas,6.496,0.187,0.13,0.127,0.546,1.0,0.451,0.439,0.978,0.696
jvm_05522_00280475118,id_base,sing temen ae mosok aku diwarah mirip rianti cartwright, tingg temen e mosek aku di warah mirip reyanti charturik,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,tiŋdamənaːmosokakudiːarahmiripriantiːtʃartorik,7.085,0.402,0.124,0.473,0.546,0.778,0.218,0.5,0.993,0.308
jvm_05522_00280475118,id_zeroshot,sing temen ae mosok aku diwarah mirip rianti cartwright, cing temen ai mau sok aku di warah mirip reyanti charturik,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,dʒiŋdamənaɪmosokakudiarahmiriprientiːtʃarturik,6.937,0.333,0.23,0.338,0.421,0.889,0.236,0.575,0.994,0.468
jvm_05522_00280475118,jv_baseline,sing temen ae mosok aku diwarah mirip rianti cartwright, sing temen ayi masuk aku di warah mirip rianti charturik,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,siŋtamanaɪmosoakotivarahmiripriandetʃartrik,6.56,0.252,0.105,0.253,0.071,0.556,0.182,0.375,0.994,0.705
jvm_05522_00280475118,LPEP,sing temen ae mosok aku diwarah mirip rianti cartwright, seng temen ay moso aku di warah mirip rianti charturik,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,siŋtomanaɪmosoakutiarahmireprianditʃartorikt,6.451,0.241,0.12,0.211,0.496,0.667,0.164,0.425,0.994,0.74
jvm_05522_00280475118,PPIM,sing temen ae mosok aku diwarah mirip rianti cartwright, seng teman saya mo so aku di barah mire pria di kartu rik,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,sŋtəmanaɪmosɔakukivaɾahmirepriandikarɡorikə,6.67,0.244,0.151,0.242,0.046,1.333,0.364,0.4,0.994,0.506
jvm_05522_00280475118,LPEP_PPIM,sing temen ae mosok aku diwarah mirip rianti cartwright, assalamualaikum warahmialaikum warahmialaikum warahmialaikum warahmialaikum warahmialaikum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum warahmialaum war,seŋtʌmʌnaːmɔsɔakutivarahmiribriandikɔtvi,seŋtəmanaɪmosɔakutivarahmiriprianditarturik,6.472,0.252,0.136,0.263,0.271,8.333,17.109,0.275,0.995,0.709
jvm_05522_00598267223,id_base,garwa kula setunggal jam setengah mboten wungu wungu, garu akula setunggal jam setengah membuatkan wunguwungu,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,karwakulastunɡaldʒemstaŋahmbotenŋuvuhuda,7.275,0.603,0.092,0.703,0.644,0.625,0.192,0.39,0.991,0.344
jvm_05522_00598267223,id_zeroshot,garwa kula setunggal jam setengah mboten wungu wungu, garwakula setunggal jam setengah memboten wunguwungu,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,ɡarakulastuŋɡaldʒemstaŋahmbotenuŋuwoŋuno,6.954,0.478,0.078,0.605,0.494,0.625,0.077,0.415,0.99,0.535
jvm_05522_00598267223,jv_baseline,garwa kula setunggal jam setengah mboten wungu wungu, karwakula setunggalot jam setengah buatan bungubungu,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,kʌrvɑkuːlstuŋɡalʌtʃamstaŋahbotanvumuːɡumuː,6.373,0.279,0.096,0.258,0.344,0.75,0.212,0.341,0.989,0.71
jvm_05522_00598267223,LPEP,garwa kula setunggal jam setengah mboten wungu wungu, karol kula 1 jam setengah buatan wungu,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,karlakulasatuŋɡalətʃɛmstaŋahəmboːtanvuŋuːvuŋv,6.396,0.205,0.111,0.113,0.994,0.5,0.423,0.268,0.988,0.709
jvm_05522_00598267223,PPIM,garwa kula setunggal jam setengah mboten wungu wungu, ke arwakula setenggal jam setengah butang nunggu nunggu,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,korvakulostuŋɡaltʃamstaŋahbotanluŋuɡuŋuŋ,6.225,0.262,0.076,0.265,0.794,0.75,0.25,0.244,0.984,0.561
jvm_05522_00598267223,LPEP_PPIM,garwa kula setunggal jam setengah mboten wungu wungu, ke rokula setunggal jam setengah,karwakulɑsotuŋɡalətʃamsataŋabotanvuŋuvuŋu,krokulɔstomɡaltʃamstaŋabotenvuuɡuŋuː,6.106,0.235,0.087,0.188,0.694,0.625,0.481,0.317,0.992,0.677
jvm_05522_01114554511,id_base,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, oke gilen hal ngantosi setiap kipun dugi saking kuta malang,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,jakeɡilenhalnantosisaderekiponduɡisakinkotamalaɲ,6.817,0.485,0.137,0.586,1.474,0.75,0.194,0.42,0.979,0.285
jvm_05522_01114554511,id_zeroshot,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, dekai gilen hal ngantosi sendiri kipun dugi saking kuta malangsa,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,ekeɡilenhalantosiseterekiponduɡisakiŋkutamalaɲ,6.75,0.395,0.188,0.473,1.224,0.875,0.258,0.4,0.99,0.492
jvm_05522_01114554511,jv_baseline,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, jaya gelenhal ngantosi sederikipun dugi sakengkutaw malang,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,dʒaeklenhalmandosisaterekipontukisakenkutomalaŋ,5.86,0.192,0.129,0.138,0.799,0.625,0.177,0.3,0.991,0.721
jvm_05522_01114554511,LPEP,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, jika kegelen hal ngantusi sederikipun duki saking kutah malang,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,dʒakekilənhalŋandɔsisetripondukisakiŋkutomalaŋ,6.225,0.354,0.134,0.38,2.049,0.875,0.226,0.34,0.97,0.702
jvm_05522_01114554511,PPIM,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, dari gelengal ngantusi segerekipun dugi sakeng kutamalang,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,kaqekulenalmantosisaeɾekipuntukisaenkutomalaŋ,6.088,0.232,0.131,0.192,0.899,0.875,0.21,0.4,0.98,0.643
jvm_05522_01114554511,LPEP_PPIM,jake gyllenhaal ngantosi sedherekipun dugi saking kutha malang, jake gelin halangan tosi sederikipun duki saking kuta malang,tʃekkaɪlennohlŋandɔsisatereipontukiːsakeŋkotomalaŋ,tʃakekulenhelŋantosisetprekipuntukisakenkutamalaŋ,6.128,0.282,0.067,0.311,1.524,0.75,0.177,0.34,0.985,0.711
jvm_05522_01475642059,id_base,kancaku iki kok ayune ngalah ngalahi ayu azhari, nganjaku ikiko aene ngalah ngalahi ayu asari,kanzakuikikoajoneŋalahnalaɪajuaseri,andʒakoikikoajinaŋalaxnalahiauasari,7.039,0.525,0.109,0.652,1.165,0.625,0.191,0.314,0.983,0.357
jvm_05522_01475642059,id_zeroshot,kancaku iki kok ayune ngalah ngalahi ayu azhari, kanjaku ikikok ayunan ngalah ngalahi ayu asari,kanzakuikikoajoneŋalahnalaɪajuaseri,kandʒakuikikoauneŋalaxnalajajuasari,6.895,0.367,0.111,0.566,0.565,0.625,0.128,0.2,0.991,0.517
jvm_05522_01475642059,jv_baseline,kancaku iki kok ayune ngalah ngalahi ayu azhari, kancaku iki kok ayuneng ngalah ngalahi ayu asaring,kanzakuikikoajoneŋalahnalaɪajuaseri,kandʒakuikikoajuniŋalahmalahiajuasari,6.168,0.172,0.083,0.04,0.235,0.25,0.128,0.229,0.995,0.732
jvm_05522_01475642059,LPEP,kancaku iki kok ayune ngalah ngalahi ayu azhari, kan chaku ikkikok āyone ngalah ngalai āyu āsher,kanzakuikikoajoneŋalahnalaɪajuaseri,kandʒakoikikoajuneŋalahŋalaajuaseri,6.495,0.346,0.08,0.448,0.765,0.875,0.255,0.171,0.976,0.711
jvm_05522_01475642059,PPIM,kancaku iki kok ayune ngalah ngalahi ayu azhari, ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ,kanzakuikikoajoneŋalahnalaɪajuaseri,kontakuikikoajuneŋalahnalaɡajuasari,6.677,0.262,0.102,0.247,0.44,18.5,6.128,0.143,0.991,0.456
jvm_05522_01475642059,LPEP_PPIM,kancaku iki kok ayune ngalah ngalahi ayu azhari, kancaku ikik kok ayunengalah ngalai ayu asuri,kanzakuikikoajoneŋalahnalaɪajuaseri,kantsakoikekoajuneŋalahnalarajoasori,6.334,0.23,0.126,0.19,0.44,0.625,0.128,0.229,0.993,0.714
jvm_05522_00449855774,id_base,apa tabloid sing mbok cekeli kuwi saka kartini group, apakah tabloid sync bok cek likui saka kartu ini grope,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,apatabloɪttsiŋboktʃakalikuvisaakarðeniɡrop,7.22,0.396,0.126,0.486,0.31,0.889,0.25,0.5,0.979,0.176
jvm_05522_00449855774,id_zeroshot,apa tabloid sing mbok cekeli kuwi saka kartini group, apakah tabloid sync bok cek liku wisaka kartu ini grope,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,aptabloɪttsiŋboktʃekalikovisakakarteniɡrup,7.08,0.343,0.275,0.4,0.11,1.0,0.269,0.432,0.985,0.374
jvm_05522_00449855774,jv_baseline,apa tabloid sing mbok cekeli kuwi saka kartini group, oppo tabloid singbo cekalikui soco kartini group,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,opotaplutsiŋbotʃaklikuisokoːkardinikrupn,5.855,0.155,0.089,0.078,0.685,0.667,0.231,0.295,0.988,0.606
jvm_05522_00449855774,LPEP,apa tabloid sing mbok cekeli kuwi saka kartini group, apakah tablet yang membawa cek likui sokok kartini grup,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,apatablyttseŋbotʃaklikuːiːsokokartenikɡrup,6.281,0.294,0.179,0.136,0.215,0.889,0.385,0.364,0.991,0.604
jvm_05522_00449855774,PPIM,apa tabloid sing mbok cekeli kuwi saka kartini group, pakotat ruitseng bawa cakalikui sakokan ini kerup,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,pamtatloːtseŋbotʃaklikoviːsaoqannikru,6.218,0.162,0.081,0.056,0.16,1.0,0.481,0.455,0.988,0.497
jvm_05522_00449855774,LPEP_PPIM,apa tabloid sing mbok cekeli kuwi saka kartini group, apatap lewitseng bawa cekal likui sokok arti nekru,ɔpotaploːtsɪŋbotsokalikwiːsokoːkartiniːkruːp,apataplopseŋbotʃakalekuisokokartenikru,6.028,0.189,0.074,0.118,0.185,1.0,0.519,0.341,0.986,0.594
jvm_09724_01837330665,id_base,semana uga kirgistan ya sih akeh perangnou, temana uga kyrgyzstan ya si akeh perang nol,semonoukokirkistanjosehakepran,tamanauɡakirɡistaniasiakepraŋno,7.179,0.492,0.195,0.824,0.266,0.714,0.167,0.433,0.987,0.168
jvm_09724_01837330665,id_zeroshot,semana uga kirgistan ya sih akeh perangnou, dimana uga kyrgyzstan ya si akeh perang noob,semonoukokirkistanjosehakepran,vanauɡakirɡistaneziakehpraŋno,7.217,0.346,0.244,0.476,0.059,0.714,0.214,0.533,0.986,0.427
jvm_09724_01837330665,jv_baseline,semana uga kirgistan ya sih akeh perangnou, semana ukokir jistan yasi akeh perang nutai,semonoukokirkistanjosehakepran,somonoukokerkistanjosihakehparaŋnu,5.887,0.165,0.143,0.092,0.509,0.857,0.286,0.233,0.994,0.778
jvm_09724_01837330665,LPEP,semana uga kirgistan ya sih akeh perangnou, semenang ukur kyrgyzstan ya si akeh perang nut,semonoukokirkistanjosehakepran,sumanaukokirkistaɲosiakahparaŋnu,6.253,0.258,0.373,0.224,0.134,0.857,0.31,0.4,0.99,0.598
jvm_09724_01837330665,PPIM,semana uga kirgistan ya sih akeh perangnou, samana ugok irgistanya cae perang lut,semonoukokirkistanjosehakepran,samanauɡoirɡistarjasehapenporanu,6.521,0.187,0.125,0.089,0.359,1.0,0.333,0.4,0.965,0.448
jvm_09724_01837330665,LPEP_PPIM,semana uga kirgistan ya sih akeh perangnou, semana ukokir jistanya si akeh perangnon,semonoukokirkistanjosehakepran,samanaukokirkistanjasiakepraŋno,6.197,0.2,0.138,0.278,0.184,0.714,0.19,0.267,0.996,0.729
jvm_05522_01788151733,id_base,trannusa sing gampang lak wis kok ribut, teranusahasing gampang lakuis koributan,transnusasenkambaŋlaweskoriput,pranusaasinɡampaŋlakwiskoribut,6.826,0.386,0.199,0.509,0.971,0.857,0.256,0.333,0.974,0.329
jvm_05522_01788151733,id_zeroshot,trannusa sing gampang lak wis kok ribut, tranusa sing gampang lakwisko ributan,transnusasenkambaŋlaweskoriput,tranusasiŋɡampŋlakwiskoribut,6.795,0.361,0.157,0.478,0.696,0.714,0.154,0.333,0.979,0.504
jvm_05522_01788151733,jv_baseline,trannusa sing gampang lak wis kok ribut, teranusa singkampanglah wiskor ribut,transnusasenkambaŋlaweskoriput,trannusasinkambaŋlawiskoriputts,5.942,0.16,0.107,0.054,0.346,0.857,0.205,0.167,0.993,0.644
jvm_05522_01788151733,LPEP,trannusa sing gampang lak wis kok ribut, tranusasing gampang lawisko,transnusasenkambaŋlaweskoriput,tranusasiŋkmbaŋlawiskoripud,6.045,0.194,0.093,0.122,0.896,0.857,0.308,0.233,0.99,0.689
jvm_05522_01788151733,PPIM,trannusa sing gampang lak wis kok ribut, teran nusa singkampanglah wiskor rikut,transnusasenkambaŋlaweskoriput,tranlusaseŋkambaŋlawiskorikut,6.074,0.15,0.162,0.054,0.621,1.0,0.231,0.167,0.987,0.62
jvm_05522_01788151733,LPEP_PPIM,trannusa sing gampang lak wis kok ribut, teranusah singgambang la wesco ribut,transnusasenkambaŋlaweskoriput,tranusasiŋkambaŋlawiskoriput,5.657,0.133,0.226,0.0,0.771,0.857,0.256,0.167,0.986,0.659
jvm_05219_01161827212,id_base,sinemart pictures jare wis meh gulung tikar, tenemart picitura sejarah wismeh gulung tikar,sinemartbitʃartereesmehkuluŋtikarr,tenemartpistorasdʒaraismeɡuluŋdikar,6.662,0.424,0.279,0.63,0.979,0.714,0.209,0.471,0.964,0.234
jvm_05219_01161827212,id_zeroshot,sinemart pictures jare wis meh gulung tikar, cina mart picitura sejarah wismeh gulung tikar,sinemartbitʃartereesmehkuluŋtikarr,dʒinamartpitʃturasdʒareismeɡuluŋdikar,6.472,0.396,0.281,0.588,1.004,0.714,0.233,0.471,0.963,0.318
